Feature1 Feature2 Feature3 Feature4 Feature5 Feature6 Class
35.533354 220.110174 185.322913 714.120693 3719.146472 0.199611 0.807951
12.153222 290.799141 371.267847 825.465771 235.087734 0.233832 0.710784
15.687117 245.596011 432.266516 969.556869 4529.009906 0.266850 0.607620
4.130666 266.347021 1400.323393 1503.693799 2897.194341 0.298691 0.572977
1.666385 72.802457 107.825008 1057.444093 2901.767221 0.329382 0.613656
25.518287 110.036326 49.654207 598.871559 133.580821 0.358947 1.032687
14.589629 146.299145 153.444796 379.331416 632.481106 0.387411 1.073925
33.824807 307.939223 109.518934 594.741217 3425.595781 0.414798 0.799551
23.930621 204.622419 250.516941 594.836392 1773.967582 0.441134 1.012166
43.214720 257.734218 170.505533 695.566033 1549.037398 0.466442 0.911759
10.536848 195.464549 144.245450 945.687477 2213.665083 0.490745 1.018313
15.055052 141.251845 168.814861 345.722825 969.807586 0.514067 0.987074
7.806743 183.979537 498.300223 2242.983894 4821.368153 0.536430 0.713096
4.070307 229.964963 657.906894 1761.622810 2500.752895 0.557859 0.610767
9.573516 257.712573 809.134769 3048.952792 4886.135801 0.578374 0.600855
11.867223 264.132387 231.574350 951.779152 2812.432035 0.597998 0.588390
13.153703 263.555467 322.313860 563.480248 662.777684 0.616752 0.756973
227.221894 616.000290 173.145876 277.478578 1392.360388 0.634659 1.210596
12.967824 122.065831 54.076640 212.555371 554.706234 0.651739 1.222428
21.222167 117.973150 451.792108 228.585803 2218.829555 0.668013 0.847892
6.008513 173.435525 264.919077 944.824368 1598.911685 0.683501 0.870892
23.397999 184.136462 263.866875 2446.331241 6546.478471 0.698224 0.868892
50.788270 360.360959 182.235269 1180.251327 1011.873455 0.712202 0.998567
6.230880 294.976293 250.437392 1001.780154 2129.410718 0.725454 0.940613
5.763651 155.968826 528.780787 1603.794021 2805.118491 0.738000 0.690615
12.673949 201.339372 472.087578 3285.169175 2222.223491 0.749859 0.620383
9.054728 133.812671 166.760986 763.343992 3318.632512 0.761049 0.629131
10.989690 105.746846 116.915742 837.345240 3876.009988 0.771589 0.607360
4.929120 345.010492 270.885587 937.083542 3251.297328 0.781497 0.564721
23.303617 70.230877 305.710134 450.478928 1139.056924 0.790791 0.595694
14.874357 107.491541 231.946372 759.115028 3375.029563 0.799489 0.495037
1.521781 77.294351 197.875938 406.081418 439.971448 0.807608 0.677519
18.992697 95.289801 494.769510 1058.266620 2557.424804 0.815165 0.610004
11.987167 138.549812 271.117665 909.634485 3092.732714 0.822177 0.578471
13.565054 155.601332 210.255088 1639.567439 874.877545 0.828661 0.543840
2.042674 180.793285 201.363760 1472.287889 1922.392898 0.834632 0.635487
1.415962 120.984949 542.869329 807.198794 2708.619022 0.840107 0.617986
5.350374 203.742195 1485.471460 845.884874 1219.823017 0.845101 0.495566
8.601355 226.840882 395.922831 917.685099 1592.662554 0.849630 0.665460
6.172840 168.970321 65.037969 290.906946 777.777837 0.853709 1.126503
24.819363 129.178608 31.506941 13.853682 267.733396 0.857353 1.471607
58.320663 259.275868 267.194076 1039.986969 1189.500734 0.860577 0.878379
28.899775 492.001779 1115.332932 1327.383674 1865.387165 0.863395 0.871702
7.832039 285.389854 343.132880 1479.747879 3824.480731 0.865820 0.819017
73.963812 148.001772 197.452813 789.865140 1830.904379 0.867868 0.862875
15.169182 126.750491 85.563244 725.938947 511.162105 0.869552 1.141682
6.499644 221.225782 313.375265 1222.238649 1177.400440 0.870885 1.042022
14.806073 303.125306 186.824719 514.099842 1567.301892 0.871880 0.887598
13.733643 185.475266 204.642804 512.878231 3247.180520 0.872550 0.895020
9.421490 213.140679 409.528296 1589.989623 894.212477 0.872908 0.762875
14.088875 249.865768 311.923436 1208.880248 4364.281431 0.872966 0.699536
10.157447 169.491916 377.300675 1020.965162 2024.231258 0.872737 0.680389
10.096042 140.141650 375.829316 1276.609279 1473.965493 0.872232 0.740828
5.322042 222.333373 669.338473 835.808564 2757.599475 0.871464 0.628431
17.410812 130.640813 183.974801 1632.791480 2275.617756 0.870442 0.628766
6.970697 134.678125 438.229921 363.414413 3262.249596 0.869180 0.653561
1.082331 143.267907 197.274620 786.250330 2870.911118 0.867687 0.758152
35.308541 222.540109 243.196975 991.210414 2065.414881 0.865975 0.886204
46.891815 168.887213 287.139922 848.505755 5007.625608 0.864055 0.685042
44.488984 134.088148 78.865552 230.262066 311.093721 0.861935 0.978888
13.239156 177.924661 470.215404 1230.983594 1346.737904 0.859628 0.880115
31.032716 177.743432 271.526154 1059.252056 1410.908909 0.857141 0.835326
5.233968 131.461941 374.696192 689.554722 1572.294601 0.854486 0.893890
56.610568 200.952689 179.050547 2876.930009 2409.452289 0.851672 1.030292
34.632801 134.170394 14.477344 100.264006 401.717423 0.848707 1.475449
17.022121 216.302615 40.722443 37.633647 720.208180 0.845601 1.086311
8.257112 223.991999 225.151969 785.141489 3852.392073 0.842363 0.788369
51.491525 347.896951 1304.308320 2027.035304 5516.058677 0.839001 0.629325
11.492176 373.848082 747.263627 1224.590899 2015.451848 0.835524 0.773163
35.219780 299.734526 127.728195 1228.272917 1891.504707 0.831940 0.838573
44.806001 376.788731 299.466724 1252.415259 7256.893436 0.828257 0.918733
36.945134 378.587685 581.560348 580.223779 338.775183 0.824482 0.851957
47.333746 285.920745 244.561051 1279.626910 2994.839258 0.820624 0.887810
32.754304 198.629190 361.385885 841.968955 3801.990358 0.816689 0.819206
25.083123 149.178162 386.752709 1359.188198 417.244243 0.812685 0.791786
17.035186 318.318455 517.356589 947.117539 1379.921141 0.808619 0.721174
8.912355 169.328686 113.375130 919.115782 2268.103246 0.804498 0.675287
2.010933 72.700559 179.066179 273.193848 292.287055 0.800328 0.696679
5.816558 213.324937 167.354017 462.648225 1075.010500 0.796116 1.031434
13.288274 235.016592 277.571493 348.340433 1324.084859 0.791868 1.218530
42.754987 313.882737 49.644658 305.143467 833.124968 0.787590 1.421834
29.335513 367.255759 160.057891 265.011094 1207.533686 0.783288 0.925511
8.078309 170.369654 156.188616 674.086395 2552.544115 0.778968 0.876423
27.250664 281.329839 342.501146 1428.599190 990.472986 0.774635 0.880309
45.355706 337.879505 908.301883 2185.992768 3685.409335 0.770295 0.673533
62.147138 310.793641 651.171680 1088.014448 2695.273291 0.765952 0.801299
10.642614 256.673024 684.816856 1782.948956 2764.701242 0.761613 0.640892
4.495493 121.263014 176.578622 1009.161784 2328.140922 0.757281 0.646659
10.578283 104.534096 80.443232 198.295949 743.570756 0.752961 0.997893
12.593144 125.465333 67.313331 192.414401 356.636201 0.748658 0.911629
1.262579 242.749962 234.861464 149.760369 1032.376520 0.744377 0.807011
11.321150 126.803432 100.274190 474.136377 1308.502437 0.740121 0.551181
11.113189 74.217933 73.890910 271.677440 807.362246 0.735894 0.757308
32.156299 489.731349 451.749958 444.079107 4267.268955 0.731701 0.928731
24.617175 193.494623 179.957100 896.971492 2262.290577 0.727544 0.671338
10.557635 247.636664 475.161729 1332.762701 1740.544135 0.723429 0.679575
9.506107 146.251412 354.526584 1138.659714 2615.857764 0.719357 0.587903
5.489298 241.798500 120.088377 515.527051 2577.534188 0.715332 0.588790
14.692715 109.985013 152.259674 416.869756 766.619911 0.711358 0.844542
47.440785 110.546438 107.391667 427.089867 2161.353972 0.707438 0.682444
23.914383 165.796976 171.182138 813.752858 4405.809954 0.703573 0.813494
6.764842 203.514155 775.297476 1439.242945 469.266426 0.699767 0.829375
22.466897 247.572629 442.546412 1087.196767 2214.756116 0.696023 0.695260
4.103866 236.731650 294.643274 1662.026950 2194.109139 0.692342 0.672579
16.212122 295.743794 877.114005 1786.605153 4342.520066 0.688728 0.608656
2.183076 145.535877 1183.424127 479.394187 2634.980775 0.685182 0.600314
3.827936 190.434607 189.691479 632.789743 1339.877631 0.681706 0.851771
15.846351 242.940001 455.065568 2193.541478 4204.425091 0.678302 0.535972
11.764578 49.411932 216.641559 1388.047382 1447.860120 0.674971 0.625848
15.604259 217.874871 851.479609 1499.439843 2057.775317 0.671717 0.558289
5.770351 78.746360 109.439439 289.540556 773.263961 0.668539 0.653550
13.207470 85.031407 187.561607 1716.461198 1337.895731 0.665439 0.680442
1.606342 102.948068 152.034854 661.914352 959.098331 0.662419 0.704969
5.390394 100.887206 293.045643 1210.534400 873.670864 0.659480 0.685387
27.736464 177.295667 406.265635 983.092381 2539.243708 0.656622 0.719822
30.793065 132.542917 736.960912 932.316616 2840.981360 0.653847 0.547093
13.058238 180.983813 548.291592 2167.013549 1293.720897 0.651155 0.604008
14.441658 279.053311 709.596032 2098.671861 2607.485823 0.648547 0.555846
15.436781 162.756119 196.265956 1063.670348 1090.748996 0.646024 0.619280
22.954079 53.852773 75.714709 563.733066 631.915847 0.643586 0.882779
22.969380 466.441699 645.642653 673.723508 5898.096936 0.641233 0.624702
26.165713 109.401984 82.444259 757.463352 1214.618347 0.638966 0.751031
20.643630 142.081074 74.854707 96.113080 640.564846 0.636785 0.980457
9.927654 259.873857 328.038659 4418.398100 3444.521225 0.634690 0.643910
10.341381 195.509339 438.434744 3435.620287 3763.575444 0.632680 0.629875
25.599315 212.871459 196.896124 668.643516 1452.349640 0.630756 0.708287
18.916968 291.981183 645.312961 551.043236 1740.364983 0.628918 0.611704
23.360468 219.154171 162.087686 753.466924 1360.269063 0.627164 0.823527
17.584593 164.797518 169.021919 966.265602 2470.859966 0.625496 0.712034
22.298152 237.448984 415.616440 1255.539228 2662.088145 0.623911 0.582682
2.512685 104.151269 214.885441 984.824468 1742.542974 0.622410 0.596178
12.629631 288.220149 837.951333 1892.764787 2018.015922 0.620992 0.665990
7.492413 232.330296 612.733355 1940.975912 2920.942820 0.619656 0.561594
17.596171 144.282458 396.393415 881.921879 1516.839324 0.618402 0.616475
16.297495 156.189418 236.533763 1289.991532 1742.855324 0.617228 0.775168
35.403190 144.496787 174.565629 434.179406 633.372224 0.616134 0.946665
10.671886 167.358930 95.470514 184.973612 185.569858 0.615117 1.099643
1.924798 236.945879 136.041833 200.223636 412.705501 0.614179 1.065687
14.181630 301.544702 292.186084 972.660928 2791.921113 0.613316 0.864010
13.209586 317.367642 223.671569 925.814244 1909.607209 0.612528 0.871365
2.995953 232.676864 607.623927 672.767029 981.301921 0.611813 0.764981
17.652902 170.863319 416.163319 1413.182071 886.384023 0.611171 0.725975
18.024790 164.398454 121.613324 361.949530 1698.126480 0.610599 0.716754
28.962286 172.151490 56.333052 611.783035 1043.848345 0.610096 0.822458
14.983086 106.365635 176.222405 563.668485 1778.566372 0.609661 0.869025
