Class Feature1 Feature2 Feature3 Feature4 Feature5 Feature6
31.626118 345.489585 465.024867 353.379868 679.766033 0.199611 1.172721
14.583007 297.938838 238.719070 1180.971365 1441.838840 0.233832 0.871765
14.940141 375.341165 439.139407 1028.171307 2469.411191 0.266850 0.786855
31.846588 304.508444 594.597040 1049.210472 1477.424605 0.298691 0.852576
5.950176 94.237243 73.547132 396.930317 669.509993 0.329382 0.856799
33.704156 210.556361 95.157877 559.935225 365.526533 0.358947 1.079982
9.262068 238.204884 162.141217 346.418751 340.723086 0.387411 1.246240
55.932296 511.232722 505.802023 487.638239 798.245109 0.414798 1.266675
120.953456 657.385149 60.236910 187.485756 1063.358200 0.441134 1.329482
100.423867 742.236089 276.350236 855.944654 692.174711 0.466442 1.394628
17.605149 490.199879 91.956180 1310.309252 663.948442 0.490745 1.255885
16.988809 183.246266 161.904641 341.653381 383.232606 0.514067 1.066556
34.049662 501.811527 655.264156 330.280105 2246.412364 0.536430 1.041994
22.854155 277.914824 416.831076 1379.911338 1222.160909 0.557859 0.920975
13.311799 305.422014 521.007516 1105.125487 1535.136784 0.578374 0.838867
12.042456 371.492288 344.638154 845.469356 3755.503322 0.597998 0.802033
7.119619 175.267287 132.842641 1052.907173 1136.550529 0.616752 0.958993
196.317570 688.961458 175.750858 269.183384 1482.932810 0.634659 1.337096
11.480593 203.268895 85.560097 83.386297 659.207752 0.651739 1.382311
10.864102 279.554704 207.666704 144.843294 1174.426105 0.668013 1.052852
107.269610 588.607887 179.053275 263.415665 1342.690601 0.683501 1.363016
7.921114 714.684713 328.801019 270.130622 766.163951 0.698224 1.423062
107.531772 801.485120 787.571699 926.061560 1852.718793 0.712202 1.263451
20.316725 653.069434 240.915583 486.612893 1579.012284 0.725454 1.178300
27.631748 314.696017 1033.535122 637.753971 683.953627 0.738000 0.958316
19.658843 406.287111 479.428552 1102.180839 890.805021 0.749859 0.881642
26.728660 386.684924 146.252035 999.121861 1432.117001 0.761049 0.911141
1.394536 262.324187 218.160164 850.930911 654.347539 0.771589 0.888770
6.202552 273.225041 212.001404 624.303684 258.670063 0.781497 0.843850
41.372910 340.240256 113.364795 711.595662 613.930817 0.790791 0.977127
10.490288 328.667891 274.660604 529.121945 908.660038 0.799489 0.830321
17.272870 190.963593 121.664209 362.268695 1270.868683 0.807608 0.989007
6.562669 191.592985 307.500295 410.916378 173.958987 0.815165 0.888120
27.497469 229.265201 151.779851 475.436053 592.842929 0.822177 0.846115
13.442606 271.692782 398.788338 1106.951649 464.204732 0.828661 0.825851
53.529613 164.254196 95.651483 411.925492 1987.853574 0.834632 0.901535
13.164430 303.816046 270.396330 1142.645987 2393.256729 0.840107 0.868138
19.056992 188.615868 615.096901 1534.327037 604.866175 0.845101 0.796432
34.951607 228.549371 153.066405 693.859588 1790.194681 0.849630 0.836001
80.434068 365.588605 250.006112 126.254321 790.467524 0.853709 1.216392
31.922020 733.048822 62.032664 44.403530 188.856449 0.857353 1.527366
75.905144 610.883062 157.248763 353.330889 1139.855007 0.860577 1.234081
25.363652 713.930078 447.050589 1302.138323 998.361172 0.863395 1.264836
9.219144 530.245935 209.803664 924.196388 2780.360682 0.865820 1.044913
44.492131 268.548941 308.795065 683.793801 1320.402054 0.867868 1.100128
